Notice: Tableau 1
Ce tableur comprend les annexes au rapport méthodologique sur les produits alimentaires  AGRIBALYSE. ;;;;
;;;;
www.agribalyse.fr;;;;
;;;;
La base de données est propriétée de l'ADEME, elle est pilotée au sein du GIS Revalim.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Sommaire : ;;Summary :;;
1;Mix de consommation de matières premières – origine des produits;Raw material consumption mix – origin of raw mareial;;
2;Mix de consommation des matière premières pour les aliments les plus emblématiques consommés en France, source de données et années;Consumption mixes of raw materials for the most emblematic foods consumed in France, data source and years;;
3;Parts non comestibles – matière première végétale et oeufs;Inedible parts – vegetable, fruits, nuts and eggs;;
4;Poissons et crustacés : proxy utilisés et parts non comestibles;Fish and shellfish: proxies used and inedible parts;;
5;Poissons et crustacés : jeux de données exclus et  jeux de données ajouté dans AGRIBALYSE 3.0;Fish and shellfish: datasets excluded and datasets added in AGRIBALYSE 3.0;;
6;Densités utilisées;Densities used;;
7;Calcul des volumes d’eau évaporés par le processus de séchage ;Calculation of water volumes evaporated by the drying process ;;
8;Rendements utilisés pour les fromages;Yields used for cheeses;;
9;Recettes utilisées pour les produits CIQUAL : sources;Recipes used for CIQUAL products: sources;;
10;Produits CIQUAL approchés par d'autres recettes / produits CIQUAL;CIQUAL products approached by other CIQUAL recipes / products;;
11;Produits CIQUAL non présents dans Agribalyse;CIQUAL products not present in Agribalyse;;
12;Liste des dummy (données vides);List of dummy (empty data);;

1. Consumption mix: Tableau 1
Mix de consommation de matières premières – origine des produits;;;;;;
;;;;;;
Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins;
Output;Saffron, consumption mix {FR} U;Saffron, consumption mix {FR} U;1,0;kg;;
Input;Saffron, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1,0;kg;;
Output;Sage, dried, consumption mix {FR} U;Sage, dried, consumption mix {FR} U;1,0;kg;;
Input;Sage, dried, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;5,0;kg;Water content of fresh and dry mint according to CIQUAL 2020 (proxy for sage).;
Output;Sage, fresh, consumption mix {FR} U;Sage, fresh, consumption mix {FR} U;1,0;kg;;
Input;Sage, fresh, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Saint-Felicien cheese, from cow's milk, consumption mix {FR} U;Saint-Felicien cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Saint-Felicien cheese, from cow's milk, consumption mix {FR} U;Saint-Felicien cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Saint-Felicien type soft cheese (PGi) {FR} U;1,0;kg;;
Output;Saint-Marcellin cheese, from cow's milk, consumption mix {FR} U;Saint-Marcellin cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Saint-Marcellin cheese, from cow's milk, consumption mix {FR} U;Saint-Marcellin cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Saint-Marcellin type soft cheese (PGi) {FR} U;1,0;kg;;
Output;Saint-Nectaire cheese, from cow's milk, consumption mix {FR} U;Saint-Nectaire cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Saint-Nectaire cheese, from cow's milk, consumption mix {FR} U;Saint-Nectaire cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Saint-Nectaire cheese (PGi) {FR} U;1,0;kg;;
Output;Saint-Nectaire cheese, milk collected in an unique farm, from cow's milk, consumption mix {FR} U;Saint-Nectaire cheese, milk collected in an unique farm, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Saint-Nectaire cheese, milk collected in an unique farm, from cow's milk, consumption mix {FR} U;Saint-Nectaire cheese, milk collected in an unique farm production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Saint-Nectaire cheese (PGi) {FR} U;1,0;kg;;
Output;Saint-Nectaire cheese, milks collected in many farms, from cow's milk, consumption mix {FR} U;Saint-Nectaire cheese, milks collected in many farms, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Saint-Nectaire cheese, milks collected in many farms, from cow's milk, consumption mix {FR} U;Saint-Nectaire cheese, milks collected in many farms production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Saint-Nectaire cheese (PGi) {FR} U;1,0;kg;;
Output;Saint-Paulin cheese, from cow's milk, consumption mix {FR} U;Saint-Paulin cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Saint-Paulin cheese, from cow's milk, consumption mix {FR} U;Saint-Paulin cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Saint-Paulin cheese (PGi) {FR} U;1,0;kg;;
Output;Sainte Maure cheese, from goat's milk, consumption mix {FR} U;Sainte Maure cheese, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Sainte Maure cheese, from goat's milk, consumption mix {FR} U;Sainte Maure cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Saithe, consumption mix {FR} U;Saithe, consumption mix {FR} U;1,0;kg;;
Input;Saithe, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,3;kg;EU process assumed to be the same as French;
Input;Saithe, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Saithe, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,4;kg;;
Output;Salema, consumption mix {FR} U;Salema, consumption mix {FR} U;1,0;kg;;
Input;Salema, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Salema, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Salema, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,4;kg;;
Output;Salers cheese, from cow's milk, consumption mix {FR} U;Salers cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Salers cheese, from cow's milk, consumption mix {FR} U;Salers cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of salers cheese (PGi) {FR} U;1,0;kg;;
Output;Salmon trout, consumption mix {FR} U;Salmon trout, consumption mix {FR} U;1,0;kg;;
Input;Salmon trout, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Salmon trout, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Salmon trout, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,4;kg;;
Output;Salmon, fillet, raw, consumption mix {FR} U;Salmon, fillet, raw, consumption mix {FR} U;1,0;kg;;
Input;Salmon, fillet, raw, consumption mix {FR} U;Farmed salmon, gutted, at plant {NO} U;1,5;kg;Salmon filleting is located in France. Mass ratio from Head On, Gutted (HOG) Salmon to Salmon Fillet (B-Trim) is 65%. (Source : PEFCR  Marine Fish First Open Public Consultation 2021);
Output;Salsify, consumption mix {FR} U;Salsify, consumption mix {FR} U;1,0;kg;;
Input;Salsify, consumption mix {FR} U;Carrot, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Salt, consumption mix {FR} U;Salt, consumption mix {FR} U;1,0;kg;;
Input;Salt, consumption mix {FR} U;Sodium chloride, powder {GLO}| market for | Cut-off, S - Copied from Ecoinvent U;1,0;kg;GLO used as proxy for FR;
Output;Savory, dried, consumption mix {FR} U;Savory, dried, consumption mix {FR} U;1,0;kg;;
Input;Savory, dried, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;5,0;kg;Water content of fresh and dry mint according to CIQUAL 2020 (proxy for savory);
Output;Scallop, consumption mix {FR} U;Scallop, consumption mix {FR} U;1,0;kg;;
Input;Scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0,4;kg;;
Output;Sea trout, consumption mix {FR} U;Sea trout, consumption mix {FR} U;1,0;kg;;
Input;Sea trout, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Sea trout, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Sea trout, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,4;kg;;
Output;Selles-sur-Cher cheese, from goat's milk, consumption mix {FR} U;Selles-sur-Cher cheese, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Selles-sur-Cher cheese, from goat's milk, consumption mix {FR} U;Selles-sur-cher cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Semi-hard cheese, from ewe's milk, consumption mix {FR} U;Semi-hard cheese, from ewe's milk, consumption mix {FR} U;1,0;kg;;
Input;Semi-hard cheese, from ewe's milk, consumption mix {FR} U;Semi-hard cheese production, from ewe's milk, hard cheese, French production mix, at plant, 1 kg of hard cheese {FR} U;1,0;kg;;
Output;Sesame seed, consumption mix {FR} U;Sesame seed, consumption mix {FR} U;1,0;kg;;
Input;Sesame seed, consumption mix {FR} U;Peanut {AR}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;AR used as a substitute for GT;
Input;Sesame seed, consumption mix {FR} U;Peanut {IN}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;IN used as a substitute for ML;
Input;Sesame seed, consumption mix {FR} U;Peanut {IN}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,8;kg;;
Output;Sesame seed, consumption mix {IT} U;Sesame seed, consumption mix {IT} U;1,0;kg;;
Input;Sesame seed, consumption mix {IT} U;Peanut {IN}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,9;kg;Dataset adapted from sesame seed, consumption mix/FR U - Peanut used as a substitute for sesame (AGB3.0);
Input;Sesame seed, consumption mix {IT} U;Peanut {RoW}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;RoW used as a substitute for NG;
Output;Shallot, consumption mix {FR} U;Shallot, consumption mix {FR} U;1,0;kg;;
Input;Shallot, consumption mix {FR} U;Onion, conventional, national average, at farm {FR} U;1,0;kg;;
Output;Shallow-water Cape hake, consumption mix {FR} U;Shallow-water Cape hake, consumption mix {FR} U;1,0;kg;;
Input;Shallow-water Cape hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,3;kg;EU process assumed to be the same as French;
Input;Shallow-water Cape hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Shallow-water Cape hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,4;kg;;
Output;Shark, consumption mix {FR} U;Shark, consumption mix {FR} U;1,0;kg;;
Input;Shark, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Shark, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Shark, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Sheep milk, consumption mix {FR} U;Sheep milk, consumption mix {FR} U;1,0;kg;;
Input;Sheep milk, consumption mix {FR} U;Sheep milk, conventional, Roquefort system, at farm gate {FR} U;1,0;kg;;
Output;Shrimps, consumption mix {FR} U;Shrimps, consumption mix {FR} U;1,0;kg;;
Input;Shrimps, consumption mix {FR} U;Fresh shrimps, China production {FR} U;0,7;kg;;
Input;Shrimps, consumption mix {FR} U;Fresh shrimps, China production {FR} U;0,3;kg;;
Output;Skipjack tuna, consumption mix {FR} U;Skipjack tuna, consumption mix {FR} U;1,0;kg;;
Input;Skipjack tuna, consumption mix {FR} U;Skipjack Tuna, Katsuwonus pelamis, ECA, Seine, average, at landing {CI} U;0,3;kg;EU process assumed to be the same as French;
Input;Skipjack tuna, consumption mix {FR} U;Skipjack Tuna, Katsuwonus pelamis, ECA, Seine, average, at landing {CI} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Skipjack tuna, consumption mix {FR} U;Skipjack Tuna, Katsuwonus pelamis, ECA, Seine, average, at landing {CI} U;0,4;kg;;
Output;Snapper, consumption mix {FR} U;Snapper, consumption mix {FR} U;1,0;kg;;
Input;Snapper, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Snapper, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Snapper, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,4;kg;;
Output;Snow pea, consumption mix {FR} U;Snow pea, consumption mix {FR} U;1,0;kg;;
Input;Snow pea, consumption mix {FR} U;Winter pea, conventional, 15% moisture, at farm gate {FR} U;1,0;kg;;
Output;Sodium bicarbonate, consumption mix {FR} U;Sodium bicarbonate, consumption mix {FR} U;1,0;kg;;
Input;Sodium bicarbonate, consumption mix {FR} U;Sodium bicarbonate {GLO}| market for sodium bicarbonate | Cut-off, S - Copied from Ecoinvent U;1,0;kg;GLO used as proxy for FR;
Output;Sodium pyrophosphate, consumption mix {FR} U;Sodium pyrophosphate, consumption mix {FR} U;1,0;kg;;
Input;Sodium pyrophosphate, consumption mix {FR} U;Sodium pyrophosphate {GLO}| market for sodium pyrophosphate | Cut-off, S - Copied from Ecoinvent U;1,0;kg;GLO used as proxy for FR;
Output;Soft-ripened cheese with bloomy rind (Camembert-type cheese), from cow's milk, consumption mix {FR} U;Soft-ripened cheese with bloomy rind (Camembert-type cheese), from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened cheese with bloomy rind (Camembert-type cheese), from cow's milk, consumption mix {FR} U;Soft-ripened cheese with bloomy rind (Camembert-type cheese) cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Soft-ripened cheese with bloomy rind (Camembert-type cheese) type soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft-ripened cheese with bloomy rind, from goat's milk, Camembert-type cheese, consumption mix {FR} U;Soft-ripened cheese with bloomy rind, from goat's milk, Camembert-type cheese, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened cheese with bloomy rind, from goat's milk, Camembert-type cheese, consumption mix {FR} U;Soft-ripened cheese with bloomy rind, Camembert-type cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Soft-ripened cheese, double cream, around 30% fat, from cow's milk, consumption mix {FR} U;Soft-ripened cheese, double cream, around 30% fat, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened cheese, double cream, around 30% fat, from cow's milk, consumption mix {FR} U;Soft-ripened cheese, double cream, around 30% fat cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Soft-ripened cheese, double cream, around 30% fat type soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft-ripened cheese, from goat's milk, from pasteurised milk, consumption mix {FR} U;Soft-ripened cheese, from goat's milk, from pasteurised milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened cheese, from goat's milk, from pasteurised milk, consumption mix {FR} U;Soft-ripened cheese, from pasteurised milk production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat, cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat, cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat, cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pane-type cheese), from cow's milk, consumption mix {FR} U;Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pane-type cheese), from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pane-type cheese), from cow's milk, consumption mix {FR} U;Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pane-type cheese), cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft cheese, from cow's milk, consumption mix {FR} U;Soft cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft cheese, from cow's milk, consumption mix {FR} U;Cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese (PGi) {FR} U;1,0;kg;;
Output;Soft cheese, from ewe's milk, consumption mix {FR} U;Soft cheese, from ewe's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft cheese, from ewe's milk, consumption mix {FR} U;Cheese production, from ewe's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Soft cheese, from goat's milk, consumption mix {FR} U;Soft cheese, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft cheese, from goat's milk, consumption mix {FR} U;Cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Soft ripened cheese, from ewe's milk, consumption mix {FR} U;Soft ripened cheese, from ewe's milk, consumption mix {FR} U;1,0;kg;;
Input;Soft ripened cheese, from ewe's milk, consumption mix {FR} U;Soft ripened cheese production, from ewe's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Soft wheat, consumption mix {FR} U;Soft wheat, consumption mix {FR} U;1,0;kg;;
Input;Soft wheat, consumption mix {FR} U;Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate {FR} U;1,0;kg;;
Output;Sorghum, consumption mix {FR} U;Sorghum, consumption mix {FR} U;1,0;kg;;
Input;Sorghum, consumption mix {FR} U;Sweet sorghum grain {RoW}| sweet sorghum production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;RoW used as a substitute for FR;
Output;Sorrel, consumption mix {FR} U;Sorrel, consumption mix {FR} U;1,0;kg;;
Input;Sorrel, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Soybean BR, average, animal feed, at french port, consumption mix {FR} U;Soybean BR, average, animal feed, at french port, consumption mix {FR} U;1000,0;kg;;
Input;Soybean BR, average, animal feed, at french port, consumption mix {FR} U;Soybean {BR}| market for soybean, without transport | Cut-off, U - Adapted from Ecoinvent U;1011,5;kg;;
Output;Soybean grain, for human consumption, consumption mix {FR} U;Soybean grain, for human consumption, consumption mix {FR} U;1,0;kg;;
Input;Soybean grain, for human consumption, consumption mix {FR} U;Soybean grain dried, stored and transported, processing {FR} U;0,4;kg;Soybean grain produced in France. Data from Agribalyse 1,4 database;
Input;Soybean grain, for human consumption, consumption mix {FR} U;Soybean BR, average, animal feed, at french port, consumption mix {FR} U;0,3;kg;Soybean grain produced in BR and transported to French port. Data from Agribalyse 1,4 database (ECOALIM project);
Input;Soybean grain, for human consumption, consumption mix {FR} U;Soybean US, animal feed, at french port {FR} U;0,2;kg;Soybean grain produced in US and transported to French port. Data from Agribalyse 1,4 database (ECOALIM project);
Input;Soybean grain, for human consumption, consumption mix {FR} U;Soybean US, animal feed, at french port {FR} U;0,1;kg;Soybean grain produced in CA and transported to French port. US is used as proxy for CA.  Data from Agribalyse 1,4 database (ECOALIM project);
Output;Spelt, consumption mix {FR} U;Spelt, consumption mix {FR} U;1,0;kg;;
Input;Spelt, consumption mix {FR} U;Durum wheat grain, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Spinach, consumption mix {FR} U;Spinach, consumption mix {FR} U;1,0;kg;;
Input;Spinach, consumption mix {FR} U;Spinach {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;GLO used as a substitute for FR;
Output;Spiny scorpionfish, consumption mix {FR} U;Spiny scorpionfish, consumption mix {FR} U;1,0;kg;;
Input;Spiny scorpionfish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Spiny scorpionfish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Spiny scorpionfish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Split pea, consumption mix {FR} U;Split pea, consumption mix {FR} U;1,0;kg;;
Input;Split pea, consumption mix {FR} U;Winter pea, conventional, 15% moisture, at farm gate {FR} U;1,0;kg;;
Output;Spotted wolffish, consumption mix {FR} U;Spotted wolffish, consumption mix {FR} U;1,0;kg;;
Input;Spotted wolffish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Spotted wolffish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Spotted wolffish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Sprout, consumption mix {FR} U;Sprout, consumption mix {FR} U;1,0;kg;;
Input;Sprout, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Squash, consumption mix {FR} U;Squash, consumption mix {FR} U;1,0;kg;;
Input;Squash, consumption mix {FR} U;Zucchini, conventional, national average, at farm gate {FR} U;0,5;kg;FR used as a substitute for ES;
Input;Squash, consumption mix {FR} U;Zucchini, conventional, national average, at farm gate {FR} U;0,5;kg;;
Output;Squid, consumption mix {FR} U;Squid, consumption mix {FR} U;1,0;kg;;
Input;Squid, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Squid, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Squid, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Strawberries for coulis, consumption mix {FR} U;Strawberries for coulis, consumption mix {FR} U;1,0;kg;;
Input;Strawberries for coulis, consumption mix {FR} U;Strawberry for processing, open field, conventional, at farm gate {ES} U;0,4;kg;"This dataset has been adapted from the Agribalyse dataset trawberry, open field, conventional, at farm gate/FR U"". Ratio yield France to Spain is 3,15 (Yield in Spain : 9990kg/ha), thus the occupation, annual crop has been adapted with the yield ratio. Field operations are linked to the work rate expressed in hours/hectare. As the yield is lower in Spain, the operations are on larger surfaces and therefore require more working hours: adaptation of the hours and the diesel consumed by multiplying by the ratio""";
Input;Strawberries for coulis, consumption mix {FR} U;Strawberry for processing, open field, conventional, at farm gate {MA} U;0,3;kg;"This dataset has been adapted from the Agribalyse dataset trawberry, open field, conventional, at farm gate/FR U"". Ratio yield France to Morocco is 2,03 (Yield in Morocco : 15480kg/ha), thus the occupation, annual crop has been adapted with the yield ratio. Field operations are linked to the work rate expressed in hours/hectare. As the yield is lower in Morocco, the operations are on larger surfaces and therefore require more working hours: however, mechanisation is much less important in Morocco because of the cheap and available labour. So it seems that it is more relevant (for lack of additional information) to stay with the same figures as the French production even if the surfaces are larger: https://www.agrimaroc.net/2018/04/19/techniques-de-production-du-fraisier/""";
Input;Strawberries for coulis, consumption mix {FR} U;Strawberry for processing, open field, conventional, at farm gate {PL} U;0,3;kg;"This dataset has been adapted from the Agribalyse dataset trawberry, open field, conventional, at farm gate/FR U"". Ratio yield France to Poland is 7,98 (Yield in Poland : 3948kg/ha), thus the occupation, annual crop has been adapted with the yield ratio. Field operations are linked to the work rate expressed in hours/hectare. As the yield is much lower in Poland, the operations are on larger surfaces and therefore require more working hours: however, mechanisation is much less important in Poland because of the cheap and available labour. So it seems that it is more relevant (for lack of additional information) to stay with the same figures as the French production even if the surfaces are larger: https://www.agrimaroc.net/2018/04/19/techniques-de-production-du-fraisier/ Source : https://www.ishs.org/ishs-article/265_100""";
Output;Strawberry, consumption mix {FR} U;Strawberry, consumption mix {FR} U;1,0;kg;;
Input;Strawberry, consumption mix {FR} U;Strawberry, open field, conventional, at farm gate {FR} U;0,5;kg;;
Input;Strawberry, consumption mix {FR} U;Strawberry for processing, open field, conventional, at farm gate {ES} U;0,5;kg;;
Output;Sunflower grain, consumption mix {FR} U;Sunflower grain, consumption mix {FR} U;1,0;kg;;
Input;Sunflower grain, consumption mix {FR} U;Sunflower grain, conventional, dried, stored and transported, processing {FR} U;0,8;kg;Sunflower seed produced in France. ;
Input;Sunflower grain, consumption mix {FR} U;Sunflower grain, conventional, national average, animal feed, at storage agency {UA} U;0,1;kg;Sunflower seed produced in Romania. UA is used as proxy for RO. Data from AGRIBALYSE 1.4;
Input;Sunflower grain, consumption mix {FR} U;Sunflower grain, conventional, national average, animal feed, at storage agency {UA} U;0,0;kg;Sunflower seed produced in Bulgaria. UA is used as proxy for BU. Data from AGRIBALYSE 1.4;
Input;Sunflower grain, consumption mix {FR} U;Sunflower seed {RoW}| sunflower production | Cut-off, U - Adapted from Ecoinvent U;0,0;kg;Sunflower seed produced in Argentina. RoW is used as proxy for AR;
Output;Sunflower oil, consumption mix, at plant {FR} U;Sunflower oil, consumption mix, at plant {FR} U;1,0;kg;;
Input;Sunflower oil, consumption mix, at plant {FR} U;Sunflower oil, at plant {FR} U;0,8;kg;Refined sunflower oil production in FR. ;
